Date,5_YR,7_YR,10_YR,20_YR,30_YR
3/31/2024,1.83,1.85,1.88,1.99,2.07
3/30/2024,1.83,1.85,1.88,1.99,2.07
3/29/2024,1.83,1.85,1.88,1.99,2.07
3/28/2024,1.83,1.85,1.88,1.99,2.07
3/27/2024,1.81,1.84,1.88,2,2.09
3/26/2024,1.84,1.88,1.92,2.05,2.13
3/25/2024,1.82,1.86,1.92,2.05,2.14
3/24/2024,1.79,1.83,1.87,2.01,2.1
3/23/2024,1.79,1.83,1.87,2.01,2.1
3/22/2024,1.79,1.83,1.87,2.01,2.1
3/21/2024,1.83,1.87,1.93,2.06,2.14
3/20/2024,1.85,1.9,1.96,2.08,2.17
3/19/2024,1.93,1.96,2,2.1,2.18
3/18/2024,1.97,1.99,2.03,2.12,2.19
3/17/2024,1.94,1.96,1.99,2.09,2.16
3/16/2024,1.94,1.96,1.99,2.09,2.16
3/15/2024,1.94,1.96,1.99,2.09,2.16
3/14/2024,1.92,1.95,1.99,2.1,2.17
3/13/2024,1.82,1.85,1.89,2.01,2.08
3/12/2024,1.8,1.83,1.86,1.98,2.05
3/11/2024,1.76,1.79,1.83,1.94,2.02
3/10/2024,1.72,1.76,1.81,1.93,2.01
3/9/2024,1.72,1.76,1.81,1.93,2.01
3/8/2024,1.72,1.76,1.81,1.93,2.01
3/7/2024,1.73,1.77,1.81,1.93,2.01
3/6/2024,1.74,1.77,1.81,1.91,1.98
3/5/2024,1.74,1.77,1.81,1.91,1.98
3/4/2024,1.79,1.83,1.88,1.98,2.05
3/3/2024,1.77,1.82,1.87,1.98,2.05
3/2/2024,1.77,1.82,1.87,1.98,2.05
3/1/2024,1.77,1.82,1.87,1.98,2.05
2/29/2024,1.86,1.88,1.92,2.02,2.09
2/28/2024,1.88,1.91,1.94,2.05,2.12
2/27/2024,1.94,1.96,1.99,2.09,2.16
2/26/2024,1.93,1.95,1.97,2.06,2.13
2/25/2024,1.94,1.95,1.96,2.05,2.11
2/24/2024,1.94,1.95,1.96,2.05,2.11
2/23/2024,1.94,1.95,1.96,2.05,2.11
2/22/2024,1.96,1.98,2.02,2.12,2.19
2/21/2024,1.91,1.94,1.98,2.11,2.18
2/20/2024,1.88,1.91,1.95,2.08,2.17
2/19/2024,1.91,1.93,1.97,2.09,2.17
2/18/2024,1.91,1.93,1.97,2.09,2.17
2/17/2024,1.91,1.93,1.97,2.09,2.17
2/16/2024,1.91,1.93,1.97,2.09,2.17
2/15/2024,1.87,1.9,1.94,2.07,2.16
2/14/2024,1.91,1.94,1.97,2.1,2.18
2/13/2024,1.98,1.99,2.02,2.13,2.2
2/12/2024,1.86,1.89,1.93,2.06,2.15
2/11/2024,1.86,1.89,1.92,2.05,2.13
2/10/2024,1.86,1.89,1.92,2.05,2.13
2/9/2024,1.86,1.89,1.92,2.05,2.13
2/8/2024,1.84,1.87,1.91,2.04,2.12
2/7/2024,1.8,1.83,1.86,2,2.08
2/6/2024,1.79,1.81,1.85,1.98,2.06
2/5/2024,1.87,1.88,1.9,2.01,2.09
2/4/2024,1.8,1.81,1.82,1.93,2.02
2/3/2024,1.8,1.81,1.82,1.93,2.02
2/2/2024,1.8,1.81,1.82,1.93,2.02
2/1/2024,1.63,1.65,1.68,1.82,1.91
1/31/2024,1.67,1.7,1.73,1.89,1.99
1/30/2024,1.75,1.77,1.8,1.94,2.04
1/29/2024,1.71,1.74,1.78,1.94,2.03
1/28/2024,1.78,1.81,1.85,2,2.1
1/27/2024,1.78,1.81,1.85,2,2.1
1/26/2024,1.78,1.81,1.85,2,2.1
1/25/2024,1.77,1.8,1.85,2,2.1
1/24/2024,1.83,1.85,1.88,2.02,2.11
1/23/2024,1.8,1.82,1.85,1.99,2.09
1/22/2024,1.76,1.77,1.8,1.93,2.03
1/21/2024,1.78,1.79,1.81,1.94,2.03
1/20/2024,1.78,1.79,1.81,1.94,2.03
1/19/2024,1.78,1.79,1.81,1.94,2.03
1/18/2024,1.76,1.77,1.8,1.95,2.05
1/17/2024,1.78,1.78,1.8,1.94,2.03
1/16/2024,1.71,1.73,1.77,1.93,2.03
1/15/2024,1.62,1.64,1.69,1.85,1.95
1/14/2024,1.62,1.64,1.69,1.85,1.95
1/13/2024,1.62,1.64,1.69,1.85,1.95
1/12/2024,1.62,1.64,1.69,1.85,1.95
1/11/2024,1.72,1.73,1.76,1.89,1.98
1/10/2024,1.81,1.81,1.82,1.93,2.01
1/9/2024,1.8,1.8,1.8,1.91,1.99
1/8/2024,1.78,1.79,1.79,1.9,1.98
1/7/2024,1.83,1.83,1.83,1.94,2.02
1/6/2024,1.83,1.83,1.83,1.94,2.02
1/5/2024,1.83,1.83,1.83,1.94,2.02
1/4/2024,1.79,1.78,1.77,1.88,1.96
1/3/2024,1.73,1.71,1.71,1.81,1.89
1/2/2024,1.76,1.75,1.74,1.84,1.91
1/1/2024,1.76,1.75,1.74,1.84,1.91
